ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0008156,negative regulation of DNA replication,1/5,25/18860,0.04,150.88,12.2113011156486,0.006610935170629,0.0213202659252787,0.0053235425321381,TP53,1
BP,GO:0046599,regulation of centriole replication,1/5,25/18860,0.04,150.88,12.2113011156486,0.006610935170629,0.0213202659252787,0.0053235425321381,BRCA1,1
BP,GO:0060571,morphogenesis of an epithelial fold,1/5,25/18860,0.04,150.88,12.2113011156486,0.006610935170629,0.0213202659252787,0.0053235425321381,EGFR,1
BP,GO:0090200,positive regulation of release of cytochrome c from mitochondria,1/5,25/18860,0.04,150.88,12.2113011156486,0.006610935170629,0.0213202659252787,0.0053235425321381,TP53,1
BP,GO:0085020,protein K6-linked ubiquitination,1/5,26/18860,0.0384615384615385,145.076923076923,11.9712880295086,0.0068746434437454,0.0220604229911234,0.005508355312349,BRCA1,1
BP,GO:0044346,fibroblast apoptotic process,1/5,27/18860,0.037037037037037,139.703703703704,11.7446816897721,0.0071382957100075,0.0227930729354202,0.0056912936093338,TP53,1
BP,GO:0006312,mitotic recombination,1/5,28/18860,0.0357142857142857,134.714285714286,11.5302750065305,0.0074018919783371,0.0231758268253761,0.0057868649600694,BRCA2,1
BP,GO:0033598,mammary gland epithelial cell proliferation,1/5,28/18860,0.0357142857142857,134.714285714286,11.5302750065305,0.0074018919783371,0.0231758268253761,0.0057868649600694,BRCA2,1
BP,GO:2000178,negative regulation of neural precursor cell proliferation,1/5,28/18860,0.0357142857142857,134.714285714286,11.5302750065305,0.0074018919783371,0.0231758268253761,0.0057868649600694,TP53,1
BP,GO:2000647,negative regulation of stem cell proliferation,1/5,28/18860,0.0357142857142857,134.714285714286,11.5302750065305,0.0074018919783371,0.0231758268253761,0.0057868649600694,TP53,1
BP,GO:0007141,male meiosis I,1/5,29/18860,0.0344827586206897,130.068965517241,11.3270078249979,0.0076654322576547,0.0232122244421938,0.0057959532266922,BRCA2,1
