"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL"
1009.9763356124,-2.11119279454928,0.206966375547489,-10.2006559711187,1.96937833065758e-24,3.04292397066724e-22,"ENSG00000111716"
533.313770559978,-1.79506518051875,0.176028313168619,-10.1975934905383,2.0324608522247e-24,3.12181176343485e-22,"ENSG00000131069"
3396.01536982514,-4.7666914205091,0.46752154531087,-10.1956615012033,2.07328243636163e-24,3.16578032253383e-22,"ENSG00000167588"
2057.2986478519,-2.1364722212343,0.209700561361021,-10.188204587379,2.23860215070885e-24,3.39822424725733e-22,"ENSG00000113594"
388.935261394889,-3.45303645389835,0.339191438004645,-10.1801993417389,2.43062941079208e-24,3.66827199100819e-22,"ENSG00000185818"
591.658414034348,-2.17273450907267,0.213752303130276,-10.1647302847934,2.8490946969515e-24,4.27495954586514e-22,"ENSG00000173269"
350.546801155956,-1.68621556570193,0.166086708953471,-10.1526219426403,3.22578356717173e-24,4.78485084780822e-22,"ENSG00000107738"
184.568150032288,-2.91103848334697,0.286712882342899,-10.1531485420507,3.20841959429993e-24,4.78485084780822e-22,"ENSG00000162444"
177.726884268703,-3.87381827946574,0.381786721430308,-10.1465505792162,3.43282938677445e-24,5.06303325124382e-22,"ENSG00000181856"
201.883364340696,-3.02064801043791,0.297861143549581,-10.1411280922417,3.62884455431624e-24,5.3218953073978e-22,"ENSG00000109610"
3934.70995258524,-2.96711199750986,0.29267027651523,-10.1380708449068,3.74420560541977e-24,5.46022972502733e-22,"ENSG00000004799"
215.538057794095,-3.01750914377256,0.297740820135733,-10.1346840597703,3.87624584377976e-24,5.62120612362207e-22,"ENSG00000184113"
505.946043785838,-1.59433885504971,0.157576433155009,-10.1178762783731,4.60294511739624e-24,6.63795829763175e-22,"ENSG00000160145"
203.051320345385,-1.59733151112656,0.157903186813694,-10.1158915368264,4.69720787881984e-24,6.73647083527101e-22,"ENSG00000197872"
243.504098760532,-1.78763072223774,0.176753685035294,-10.1136829021742,4.8043531665511e-24,6.85227469765569e-22,"ENSG00000136158"
