GO_ID,Python_Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,Python_FDR,R_Name,R_Adjusted_P
GO:0072088,nephron epithelium morphogenesis,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,nephron epithelium morphogenesis,0.0039927874832095
GO:0006563,L-serine metabolic process,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,L-serine metabolic process,0.0037251343401051
GO:0072078,nephron tubule morphogenesis,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,nephron tubule morphogenesis,0.0028529467069271
GO:0048484,enteric nervous system development,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,enteric nervous system development,0.0064433781929987
GO:0098868,bone growth,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,bone growth,0.0097851466012114
GO:0005890,sodium:potassium-exchanging ATPase complex,CC,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,sodium:potassium-exchanging ATPase complex,0.0354855290477247
GO:0005614,interstitial matrix,CC,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,interstitial matrix,0.0026642080352663
GO:0097646,calcitonin family receptor signaling pathway,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,calcitonin family receptor signaling pathway,0.0036876485175695
GO:0015670,carbon dioxide transport,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692,carbon dioxide transport,0.0060823890187275
GO:0046873,metal ion transmembrane transporter activity,MF,e,101,3765,406,20413,0.0011875123258411,0.0251142312626032,metal ion transmembrane transporter activity,0.0004433401676696
GO:0004896,cytokine receptor activity,MF,e,30,3765,93,20413,0.0011899418636051,0.0251396686709895,cytokine receptor activity,0.005052185698531
GO:0050994,regulation of lipid catabolic process,BP,e,20,3765,54,20413,0.0012058516969277,0.0254495559476214,regulation of lipid catabolic process,0.0185198236164839
GO:0090288,negative regulation of cellular response to growth factor stimulus,BP,e,27,3765,80,20413,0.0012087601557074,0.0254846932828315,negative regulation of cellular response to growth factor stimulus,0.0110373799524469
GO:0048704,embryonic skeletal system morphogenesis,BP,e,14,3765,33,20413,0.0012260621962954,0.0256420381869496,embryonic skeletal system morphogenesis,5.42232997394022e-05
GO:0050918,positive chemotaxis,BP,e,16,3765,39,20413,0.0012203116679719,0.0256420381869496,positive chemotaxis,0.0013829983628651
GO:0007044,cell-substrate junction assembly,BP,e,14,3765,33,20413,0.0012260621962954,0.0256420381869496,cell-substrate junction assembly,0.0006974546921754
GO:1905819,negative regulation of chromosome separation,BP,e,14,3765,33,20413,0.0012260621962954,0.0256420381869496,negative regulation of chromosome separation,0.0006483885442526
GO:0045823,positive regulation of heart contraction,BP,e,14,3765,33,20413,0.0012260621962954,0.0256420381869496,positive regulation of heart contraction,0.0095520545310926
GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,BP,e,14,3765,33,20413,0.0012260621962954,0.0256420381869496,negative regulation of metaphase/anaphase transition of cell cycle,0.0006483885442526
GO:0005160,transforming growth factor beta receptor binding,MF,e,11,3765,23,20413,0.0012482607583503,0.0259701601227144,transforming growth factor beta receptor binding,0.0140648374222215
GO:0050926,regulation of positive chemotaxis,BP,e,11,3765,23,20413,0.0012482607583503,0.0259701601227144,regulation of positive chemotaxis,0.0021641900549105
GO:0032656,regulation of interleukin-13 production,BP,e,11,3765,23,20413,0.0012482607583503,0.0259701601227144,regulation of interleukin-13 production,0.0064102940271455
GO:0045446,endothelial cell differentiation,BP,e,11,3765,23,20413,0.0012482607583503,0.0259701601227144,endothelial cell differentiation,7.77375100490316e-05
GO:0007163,establishment or maintenance of cell polarity,BP,e,39,3765,129,20413,0.0012660761291354,0.0262874347663342,establishment or maintenance of cell polarity,0.0003112363606291
GO:0071559,response to transforming growth factor beta,BP,e,22,3765,61,20413,0.0012821146457468,0.0265934974041394,response to transforming growth factor beta,0.0008003863573451
GO:1902476,chloride transmembrane transport,BP,e,33,3765,104,20413,0.0013152650629988,0.02720703976464,chloride transmembrane transport,0.0003661946812241
GO:0048469,cell maturation,BP,e,23,3765,66,20413,0.0013156773730912,0.02720703976464,cell maturation,3.97656704513292e-08
GO:0097530,granulocyte migration,BP,e,23,3765,66,20413,0.0013156773730912,0.02720703976464,granulocyte migration,0.0005401078147959
GO:0038084,vascular endothelial growth factor signaling pathway,BP,e,10,3765,20,20413,0.0013572987507086,0.0279830214268334,vascular endothelial growth factor signaling pathway,0.0004004424294966
GO:0072207,metanephric epithelium development,BP,e,8,3765,14,20413,0.0013780358771408,0.0282966825954386,metanephric epithelium development,0.0124675082150616
GO:0045916,negative regulation of complement activation,BP,e,8,3765,14,20413,0.0013780358771408,0.0282966825954386,negative regulation of complement activation,0.0037251343401051
GO:0045236,CXCR chemokine receptor binding,MF,e,8,3765,14,20413,0.0013780358771408,0.0282966825954386,CXCR chemokine receptor binding,0.0251083604541573
GO:0032526,response to retinoic acid,BP,e,29,3765,89,20413,0.0013877742236237,0.0284681252900109,response to retinoic acid,0.0006974546921754
GO:0099550,"trans-synaptic signaling, modulating synaptic transmission",BP,e,9,3765,17,20413,0.0014152436352528,0.0288582963355581,"trans-synaptic signaling, modulating synaptic transmission",0.0325804221313781
GO:0002921,negative regulation of humoral immune response,BP,e,9,3765,17,20413,0.0014152436352528,0.0288582963355581,negative regulation of humoral immune response,0.0053388551850893
GO:0036376,sodium ion export across plasma membrane,BP,e,9,3765,17,20413,0.0014152436352528,0.0288582963355581,sodium ion export across plasma membrane,0.0064102940271455
GO:0110110,positive regulation of animal organ morphogenesis,BP,e,9,3765,17,20413,0.0014152436352528,0.0288582963355581,positive regulation of animal organ morphogenesis,0.0003661946812241
GO:0033623,regulation of integrin activation,BP,e,9,3765,17,20413,0.0014152436352528,0.0288582963355581,regulation of integrin activation,0.0035379511847886
GO:0034703,cation channel complex,CC,e,56,3765,204,20413,0.0014273369889049,0.0290470873025124,cation channel complex,0.0046420561493399
GO:0031577,spindle checkpoint signaling,BP,e,13,3765,30,20413,0.0014402320350024,0.029164698708799,spindle checkpoint signaling,0.0003000456996003
GO:0060306,regulation of membrane repolarization,BP,e,13,3765,30,20413,0.0014402320350024,0.029164698708799,regulation of membrane repolarization,0.0328335910348254
GO:0030509,BMP signaling pathway,BP,e,20,3765,55,20413,0.0014683538478068,0.0296755181490194,BMP signaling pathway,0.0002169286040765
GO:0051489,regulation of filopodium assembly,BP,e,17,3765,44,20413,0.0014792921216308,0.0298083908048968,regulation of filopodium assembly,0.0044318222965404
GO:0046850,regulation of bone remodeling,BP,e,17,3765,44,20413,0.0014792921216308,0.0298083908048968,regulation of bone remodeling,0.0193915198792869
GO:0031670,cellular response to nutrient,BP,e,16,3765,40,20413,0.0014904043490728,0.029973362439205,cellular response to nutrient,0.0026731720269424
GO:0140272,exogenous protein binding,MF,e,16,3765,40,20413,0.0014904043490728,0.029973362439205,exogenous protein binding,0.0296043134494389
GO:0046718,symbiont entry into host cell,BP,e,24,3765,69,20413,0.001494212380657,0.0299910816031386,symbiont entry into host cell,0.0352756926190348
GO:0045471,response to ethanol,BP,e,33,3765,106,20413,0.0015190478239334,0.0303409815359348,response to ethanol,0.0008695846259714
GO:0006816,calcium ion transport,BP,e,62,3765,231,20413,0.0015266277689756,0.0304626902333185,calcium ion transport,3.58794450986856e-05
GO:0015079,potassium ion transmembrane transporter activity,MF,e,42,3765,143,20413,0.0015405879800697,0.030642542764159,potassium ion transmembrane transporter activity,0.0058646439631117
GO:0032869,cellular response to insulin stimulus,BP,e,29,3765,90,20413,0.0015416220948542,0.030642542764159,cellular response to insulin stimulus,0.0126334372158677
GO:0043523,regulation of neuron apoptotic process,BP,e,52,3765,186,20413,0.001595874429837,0.0316594914720718,regulation of neuron apoptotic process,0.0017440404589076
GO:0005244,voltage-gated monoatomic ion channel activity,MF,e,44,3765,153,20413,0.0016204339771384,0.0321156223341379,voltage-gated monoatomic ion channel activity,0.0064682028909324
GO:0016328,lateral plasma membrane,CC,e,24,3765,70,20413,0.0016484580630562,0.0325765198516979,lateral plasma membrane,0.0019705487312052
GO:0001654,eye development,BP,e,24,3765,70,20413,0.0016484580630562,0.0325765198516979,eye development,6.27591234743432e-06
GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,BP,e,12,3765,27,20413,0.0016754958911108,0.0330153243235914,positive regulation of cell migration involved in sprouting angiogenesis,0.0352451404040769
GO:0070830,bicellular tight junction assembly,BP,e,12,3765,27,20413,0.0016754958911108,0.0330153243235914,bicellular tight junction assembly,0.0008695846259714
GO:0001657,ureteric bud development,BP,e,12,3765,27,20413,0.0016754958911108,0.0330153243235914,ureteric bud development,0.0001223525568556
GO:0032965,regulation of collagen biosynthetic process,BP,e,15,3765,36,20413,0.0016809373061438,0.03305897141536,regulation of collagen biosynthetic process,0.0092251556776169
GO:1902305,regulation of sodium ion transmembrane transport,BP,e,15,3765,36,20413,0.0016809373061438,0.03305897141536,regulation of sodium ion transmembrane transport,0.0092251556776169
GO:0050921,positive regulation of chemotaxis,BP,e,38,3765,127,20413,0.0017476666806446,0.0343383828249762,positive regulation of chemotaxis,0.0003567613973097
