"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000117020",662.792020805455,-1.04089453084456,0.15775948593023,-6.59798378973487,4.16786824694363e-11,7.05277209609926e-10,"10000","AKT3"
"ENSG00000117114",660.45431566184,-1.46792044214926,0.172284465701444,-8.52032965463672,1.59099814096841e-17,8.14578495922247e-16,"23266","ADGRL2"
"ENSG00000117122",64.0517770849843,1.5609699848986,0.277448216057548,5.62616695497088,1.84258017787893e-08,1.86907761849868e-07,"4237","MFAP2"
"ENSG00000117152",56.8088954366309,1.86404361020087,0.267186775063174,6.97655641736062,3.02502896244208e-12,6.31727287265258e-11,"5999","RGS4"
"ENSG00000117154",57.0231007792575,1.35930570676802,0.397896931632595,3.41622565720904,0.000634956066633397,0.0022668394412969,"84966","IGSF21"
"ENSG00000117155",248.806153540001,1.5122928139886,0.181554833285363,8.32967531969594,8.10643662074279e-17,3.73760003199363e-15,"117178","SSX2IP"
"ENSG00000117308",121.771764504216,1.36715764321184,0.195193286442406,7.00412226326873,2.48539006278977e-12,5.2796624365759e-11,"2582","GALE"
"ENSG00000117322",19.4052721997986,1.76878480450889,0.406800500048577,4.34803989743787,1.37359620668757e-05,7.5096483431331e-05,"1380","CR2"
"ENSG00000117394",273.77482110183,1.12861219669202,0.217225372549399,5.19558182106635,2.04080549990436e-07,1.64752372274964e-06,"6513","SLC2A1"
"ENSG00000117407",23.864399276918,2.04473835896663,0.418954106987813,4.88057838522658,1.05775160652901e-06,7.34540294336008e-06,"9048","ARTN"
"ENSG00000117425",45.9924331589071,-1.03275707790165,0.239250465657295,-4.31663560221023,1.58425371676843e-05,8.53727589368379e-05,"8643","PTCH2"
"ENSG00000117472",194.278655091448,2.57554206627359,0.325131176207533,7.9215475314173,2.34572552721554e-15,8.49237702028745e-14,"10103","TSPAN1"
"ENSG00000117525",479.822880369283,-1.22680301034102,0.25352967598608,-4.83889314167851,1.30564217742798e-06,8.9001732252299e-06,"2152","F3"
"ENSG00000117586",43.8875585494797,1.30104482014096,0.242632885910486,5.36219488656186,8.22167662598995e-08,7.28390040469103e-07,"7292","TNFSF4"
"ENSG00000117592",1448.86026909311,-1.031632739198,0.168507774540668,-6.1221670157956,9.23111873537517e-10,1.21265880634043e-08,"9588","PRDX6"
"ENSG00000117594",73.0298366243089,-2.43282932254748,0.358201169882389,-6.79179613887435,1.10745971227456e-11,2.09072285172531e-10,"3290","HSD11B1"
"ENSG00000117600",66.155574386871,-1.26099817307735,0.267540527816906,-4.71329776975071,2.43739613487352e-06,1.57348741280892e-05,"9890","PLPPR4"
"ENSG00000117650",65.5232860659625,3.65950256505456,0.461671866807857,7.92663107318517,2.25170960458447e-15,8.186257411177e-14,"4751","NEK2"
"ENSG00000117682",416.789032490781,-1.23580345326795,0.168164164571944,-7.34879191659914,2.00006262859268e-13,5.19176257130087e-12,"79947","DHDDS"
"ENSG00000117707",79.2312705799863,-1.58227494780862,0.231862355803546,-6.82419939332135,8.84170062397163e-12,1.70768500593047e-10,"5629","PROX1"
"ENSG00000117724",570.776223771606,2.18763946867183,0.267847623577422,8.16747761078973,3.14904162865371e-16,1.32915158693647e-14,"1063","CENPF"
"ENSG00000118004",14.0954976107966,-1.32850787566205,0.311028402949973,-4.27133941164767,1.94302420777289e-05,0.000102723059848001,"78989","COLEC11"
"ENSG00000118193",61.576944896814,2.42593967674664,0.327056474881467,7.41749472358209,1.19356441921372e-13,3.22063879354986e-12,"9928","KIF14"
"ENSG00000118276",102.537427540131,-1.41951226468683,0.206960367559028,-6.85886037712977,6.9412037862508e-12,1.36603311511371e-10,"9331","B4GALT6"
"ENSG00000118298",7.40929926931841,2.62054053563545,0.428927561398571,6.10951771690971,9.99326624986345e-10,1.30682723080078e-08,"23632","CA14"
"ENSG00000118307",40.2995550284877,1.21944404378395,0.238552269055956,5.11185262923621,3.19014658607262e-07,2.46531185118407e-06,"55259","DNAI7"
"ENSG00000118407",186.869159801157,-1.24212632082776,0.244070848446131,-5.08920392884165,3.59569773483465e-07,2.75574614115258e-06,"27145","FILIP1"
"ENSG00000118432",125.031641357929,-2.08638110219757,0.284295933412342,-7.33876519848594,2.15573415102234e-13,5.56801463604356e-12,"1268","CNR1"
"ENSG00000118495",322.142149106786,-1.45465741807574,0.177535388907226,-8.19361946386867,2.53485620319818e-16,1.08580523634684e-14,"5325","PLAGL1"
"ENSG00000118513",563.281655519896,2.0597401383214,0.292525448599224,7.04123401291953,1.90544675475216e-12,4.11494067053716e-11,"4602","MYB"
"ENSG00000118526",3.93652223423151,-1.35258263700884,0.559421479681152,-2.41782392370733,0.0156136300576448,0.0368989993660182,"6943","TCF21"
"ENSG00000118596",716.356087728269,-3.20798189147397,0.325732758299264,-9.84850866159022,6.95685459098729e-23,8.28376291159854e-21,"9194","SLC16A7"
"ENSG00000118640",252.410280967985,1.19777353847689,0.176175505714643,6.79875181069135,1.05529433745716e-11,2.00523359407254e-10,"8673","VAMP8"
"ENSG00000118729",120.639510040222,-2.62778827922031,0.339742735571217,-7.73464155106114,1.03694847800776e-14,3.34789907862256e-13,"845","CASQ2"
"ENSG00000118762",549.806071563395,-1.12854978586258,0.147221294122074,-7.66566951195795,1.7790073507974e-14,5.53710705179844e-13,"5311","PKD2"
"ENSG00000118785",766.253324722949,2.23013907080605,0.298073381824497,7.48184576950631,7.32859241001703e-14,2.05882685908249e-12,"6696","SPP1"
"ENSG00000118804",47.0833303707039,-2.01549196225102,0.2713937619313,-7.42644911183044,1.11551785011813e-13,3.03210600558812e-12,"8987","STBD1"
"ENSG00000118898",604.32515812909,-1.25340737505156,0.134143054535275,-9.34381119763417,9.29274967980783e-21,7.78132890930489e-19,"5493","PPL"
"ENSG00000118971",1153.42818896717,-1.2892110390204,0.223336484434386,-5.77250529525173,7.81014892063691e-09,8.56871706178753e-08,"894","CCND2"
"ENSG00000118997",243.056725668477,1.20602087271032,0.235310672012419,5.12522811819887,2.97177716825527e-07,2.30962250699312e-06,"56171","DNAH7"
"ENSG00000119041",1121.87519582958,1.45349477240812,0.184569658531331,7.87504719884059,3.40614250079708e-15,1.19320711249245e-13,"9330","GTF3C3"
