GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0008380,RNA splicing,BP,p,7,3765,278,20413,2.4849963972195765e-16,8.21371470455174e-14
GO:0071826,protein-RNA complex organization,BP,p,3,3765,223,20413,4.728892043210107e-16,1.5142060100235112e-13
GO:0016072,rRNA metabolic process,BP,p,4,3765,238,20413,4.695632362162346e-16,1.5142060100235112e-13
GO:0009986,cell surface,CC,e,203,3765,646,20413,6.285673106462967e-16,1.9817276764730093e-13
GO:0005829,cytosol,CC,p,698,3765,4791,20413,7.664573529629474e-16,2.379850080949952e-13
GO:0003013,circulatory system process,BP,e,105,3765,267,20413,9.925271520599926e-16,3.035799839875437e-13
GO:0019538,protein metabolic process,BP,p,343,3765,2641,20413,1.1703782319752695e-15,3.5271413393925286e-13
GO:1901342,regulation of vasculature development,BP,e,109,3765,282,20413,1.5793657621113724e-15,4.690716313470777e-13
GO:0000375,"RNA splicing, via transesterification reactions",BP,p,4,3765,230,20413,1.6096498344085433e-15,4.712364865219183e-13
GO:0040012,regulation of locomotion,BP,e,268,3765,925,20413,1.6876113522827678e-15,4.871016822863487e-13
GO:0051240,positive regulation of multicellular organismal process,BP,e,376,3765,1408,20413,2.555553574523562e-15,7.273744361487688e-13
GO:0022618,protein-RNA complex assembly,BP,p,3,3765,214,20413,2.6072257690183237e-15,7.279132423729596e-13
GO:0004930,G protein-coupled receptor activity,MF,e,120,3765,325,20413,2.6284867972282733e-15,7.279132423729596e-13
GO:0045765,regulation of angiogenesis,BP,e,106,3765,274,20413,2.67482984432854e-15,7.308705066643302e-13
GO:0005681,spliceosomal complex,CC,p,2,3765,198,20413,3.713834387539304e-15,1.0014158961031966e-12
GO:0016567,protein ubiquitination,BP,p,39,3765,559,20413,4.5724498836714955e-15,1.2013232752061534e-12
GO:0030334,regulation of cell migration,BP,e,249,3765,850,20413,4.551697654113257e-15,1.2013232752061534e-12
GO:0006399,tRNA metabolic process,BP,p,2,3765,196,20413,5.705188606613042e-15,1.4799548115863426e-12
GO:0003018,vascular process in circulatory system,BP,e,94,3765,234,20413,6.4576695984501604e-15,1.6542127885129892e-12
GO:0051094,positive regulation of developmental process,BP,e,294,3765,1051,20413,7.935279620480189e-15,1.9831425032012255e-12
GO:0005739,mitochondrion,CC,p,175,3765,1534,20413,7.91867703505372e-15,1.9831425032012255e-12
GO:0030154,cell differentiation,BP,e,359,3765,1341,20413,8.29335502747006e-15,2.0476593322643848e-12
GO:0006364,rRNA processing,BP,p,2,3765,194,20413,8.786292134084444e-15,2.1435414845689586e-12
GO:0005911,cell-cell junction,CC,e,168,3765,517,20413,9.189175154731285e-15,2.215456075834214e-12
GO:0030545,signaling receptor regulator activity,MF,e,151,3765,450,20413,9.734033547735958e-15,2.3195296452761974e-12
