"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0015813","L-glutamate transmembrane transport","11/2867","34/18860",0.323529411764706,2.12827509797082,2.78794140892812,0.0095260148695531,0.0457053231191897,0.0321715203296086,"ATP1A2/SLC1A3/SLC17A7/SLC1A1/SLC1A2/SLC1A4/SLC7A11/SLC1A7/SLC7A13/TTYH1/SLC25A18",11
"BP","GO:0030212","hyaluronan metabolic process","11/2867","34/18860",0.323529411764706,2.12827509797082,2.78794140892812,0.0095260148695531,0.0457053231191897,0.0321715203296086,"HMMR/ITIH6/HAS3/CEMIP/HYAL1/ITIH5/TNFAIP6/LYVE1/STAB2/FGF2/ITIH3",11
"BP","GO:0043406","positive regulation of MAP kinase activity","11/2867","34/18860",0.323529411764706,2.12827509797082,2.78794140892812,0.0095260148695531,0.0457053231191897,0.0321715203296086,"TENM1/FGFR1/FLT1/EZH2/SASH1/FGF1/FGF2/ERBB2/NEK10/MST1R/RASGRP1",11
"BP","GO:0051497","negative regulation of stress fiber assembly","11/2867","34/18860",0.323529411764706,2.12827509797082,2.78794140892812,0.0095260148695531,0.0457053231191897,0.0321715203296086,"MYOC/CORO2B/MET/RHPN2/INPP5K/OAZ3/TMEFF2/RHPN1/DLC1/S1PR1/TACSTD2",11
"BP","GO:1902624","positive regulation of neutrophil migration","11/2867","34/18860",0.323529411764706,2.12827509797082,2.78794140892812,0.0095260148695531,0.0457053231191897,0.0321715203296086,"DAPK2/EDN1/MDK/IL23A/THBS4/XG/CCR7/LBP/CCL21/ADAM8/FUT7",11
"BP","GO:0017156","calcium-ion regulated exocytosis","18/2867","67/18860",0.26865671641791,1.76730578013317,2.66388837326818,0.00961848319269618,0.0460844140803509,0.0324383586699035,"SYT13/SYT1/CBARP/SYT17/EQTN/SYT6/STXBP1/UNC13C/NOTCH1/DOC2A/ADRA2A/SYN2/TSPAN18/KCNB1/CADPS/SYT9/SYT15/DOC2B",18
"BP","GO:0099068","postsynapse assembly","22/2867","87/18860",0.252873563218391,1.66347938691972,2.62620382189258,0.00962322863405045,0.0460844140803509,0.0324383586699035,"CYFIP2/FGFR1/SYNDIG1/CBLN1/PTPRS/NEURL1/WNT5A/MARK1/CSMD2/LRRC4B/MAP1B/LRP4/NTRK3/LRRTM2/CASKIN1/NLGN1/CDH2/NECTIN3/NRXN1/RELN/ARHGEF15/SHANK3",22
"BP","GO:0006694","steroid biosynthetic process","39/2867","177/18860",0.220338983050847,1.44945700046703,2.54366364839506,0.00962776869255562,0.0460844140803509,0.0324383586699035,"CFTR/HSD17B6/APOB/HSD17B2/SEC14L2/CYB5R3/SQLE/CYP27B1/BMP5/QKI/PDE8B/PRLR/FGF1/NR3C1/NR5A2/PROX1/EGR1/INHBA/PCK1/BMP2/NR1D1/GNAI1/HSD17B7/LHCGR/CYP11A1/ADM/TM7SF2/DAB2/BMP6/FGFR4/GPR146/ACAA2/FAXDC2/LEP/AKR1C3/HSD17B11/CES1/MIR342/CYP21A2",39
"BP","GO:0002697","regulation of immune effector process","82/2867","421/18860",0.194774346793349,1.28128502982998,2.47130981047399,0.00967617143878159,0.046279658675337,0.0325757893897446,"CFH/CD22/TNFRSF1B/PRKCZ/IRAK3/TREM2/PLA2G3/LGALS1/XBP1/SLC7A5/PYCARD/FCER2/IL4I1/GATA3/CRTAM/CD81/IL23A/BCL6/WNT5A/POMC/CR2/TNFSF4/COLEC11/VAMP8/TGFB3/CLU/CD80/TWIST1/PCK1/STAT5A/MASP1/FOXJ1/LBP/ANXA1/CD36/IL6/STXBP1/TLR4/IL33/RBP4/FCN3/NECTIN4/SUSD4/SERPING1/FCGR1A/IL18/ANGPT1/VSIG4/BATF/KIT/CD1A/CD1E/FCRL3/AZGP1/PGLYRP2/FZD5/INAVA/DNASE1L3/GPRC5B/KLK5/EVPL/KLK7/APLF/YWHAG/CLEC7A/RASGRP1/STAT5B/LEP/A2M/ATAD5/FUT7/TIGIT/CLEC4G/ASCL2/PKP3/COLEC10/PDCD1/CALHM6/CR1/HLA-E/DENND1B/MIF",82
"BP","GO:0006635","fatty acid beta-oxidation","19/2867","72/18860",0.263888888888889,1.73594155718327,2.64897285501493,0.00971194279469453,0.0463413659724867,0.0326192245397284,"ACACB/ECHDC1/ETFB/EHHADH/ACADL/TWIST1/ACADS/ECHS1/HADH/ACOXL/ACOX1/ACAA2/ABCD2/LEP/ADIPOQ/IRS2/PPARA/CPT1B/PLIN5",19
